dataset,model, smoteBackground Shapley Value Sampling, smoteBackground Feature Ablation, prototypesBackground Feature Ablation,  prototypesBackground Shapley Value Sampling,   zerosBackground Feature Ablation,  zerosBackground Shapley Value Sampling
ArticularyWordRecognition,hydra,0.614,0.499,0.499,0.499,0.498,0.613,
ArticularyWordRecognition,ConvTran,0.817,0.779,0.775,0.823,0.495,0.606,
ArticularyWordRecognition,miniRocket,0.499,0.499,0.499,0.614,0.499,0.613,
DuckDuckGeese,hydra,0.660,0.651,0.654,0.656,0.649,0.666,
DuckDuckGeese,ConvTran,0.665,0.659,0.654,0.646,0.702,0.699,
DuckDuckGeese,miniRocket,0.754,0.769,0.775,0.750,0.767,0.765,
FaceDetection,hydra,0.704,0.661,0.652,0.694,0.664,0.670,
FaceDetection,ConvTran,0.727,0.715,0.719,0.751,0.721,0.730,
FaceDetection,miniRocket,0.737,0.701,0.725,0.726,0.721,0.724,
FingerMovements,hydra,0.671,0.697,0.659,0.641,0.663,0.678,
FingerMovements,ConvTran,0.643,0.676,0.686,0.638,0.617,0.606,
FingerMovements,miniRocket,0.659,0.684,0.675,0.653,0.669,0.687,
HandMovementDirection,hydra,0.334,0.435,0.428,0.396,0.471,0.349,
HandMovementDirection,ConvTran,0.488,0.447,0.432,0.409,0.428,0.407,
HandMovementDirection,miniRocket,0.442,0.410,0.431,0.463,0.480,0.496,
Heartbeat,hydra,0.827,0.801,0.772,0.781,0.776,0.792,
Heartbeat,ConvTran,0.563,0.594,0.714,0.687,0.813,0.812,
Heartbeat,miniRocket,0.781,0.783,0.808,0.767,0.780,0.777,
MotorImagery,hydra,0.656,0.656,0.656,0.654,0.661,0.656,
MotorImagery,ConvTran,0.660,0.612,0.639,0.653,0.645,0.654,
MotorImagery,miniRocket,0.625,0.610,0.613,0.634,0.619,0.628,
NATOPS,hydra,0.795,0.845,0.835,0.821,0.834,0.855,
NATOPS,ConvTran,0.863,0.786,0.780,0.862,0.856,0.859,
NATOPS,miniRocket,0.897,0.845,0.845,0.750,0.865,0.846,
PEMS-SF,hydra,0.863,0.872,0.861,0.868,0.855,0.881,
PEMS-SF,ConvTran,0.811,0.797,0.802,0.821,0.820,0.834,
PEMS-SF,miniRocket,0.879,0.882,0.870,0.878,0.907,0.915,
PhonemeSpectra,hydra,0.446,0.462,0.461,0.448,0.460,0.464,
PhonemeSpectra,ConvTran,0.397,0.409,0.405,0.404,0.400,0.408,
PhonemeSpectra,miniRocket,0.443,0.443,0.443,0.443,0.444,0.446,
IMU_MP,hydra,0.766,0.750,0.753,0.759,0.722,0.823,
IMU_MP,ConvTran,0.735,0.767,0.777,0.795,0.822,0.818,
IMU_MP,miniRocket,0.828,0.849,0.853,0.759,0.818,0.822,
IMU_Rowing,hydra,0.679,0.663,0.686,0.674,0.663,0.705,
IMU_Rowing,ConvTran,0.700,0.707,0.710,0.688,0.773,0.740,
IMU_Rowing,miniRocket,0.625,0.740,0.746,0.629,0.692,0.733,
MP50,hydra,0.725,0.685,0.681,0.766,0.703,0.779,
MP50,ConvTran,0.832,0.786,0.786,0.843,0.315,0.738,
MP50,miniRocket,0.761,0.778,0.759,0.761,0.803,0.813,
Video_MP,hydra,0.646,0.586,0.582,0.645,0.488,0.652,
Video_MP,ConvTran,0.781,0.679,0.687,0.779,0.300,0.511,
Video_MP,miniRocket,0.733,0.558,0.556,0.746,0.602,0.734,
Video_Rowing,hydra,0.724,0.655,0.700,0.699,0.576,0.550,
Video_Rowing,ConvTran,0.653,0.736,0.722,0.704,0.684,0.729,
Video_Rowing,miniRocket,0.717,0.692,0.686,0.730,0.565,0.731,
EMOPain,hydra,0.768,0.851,0.858,0.771,0.769,0.823,
EMOPain,ConvTran,0.864,0.878,0.873,0.758,0.726,0.774,
EMOPain,miniRocket,0.823,0.842,0.744,0.803,0.822,0.841,
EyesOpenShut,hydra,0.532,0.470,0.453,0.478,0.499,0.568,
EyesOpenShut,ConvTran,0.654,0.658,0.670,0.658,0.588,0.650,
EyesOpenShut,miniRocket,0.550,0.552,0.564,0.567,0.559,0.571,
MotionSenseHAR,hydra,0.902,0.921,0.921,0.899,0.917,0.797,
MotionSenseHAR,ConvTran,0.875,0.732,0.730,0.785,0.911,0.859,
MotionSenseHAR,miniRocket,0.955,0.954,0.953,0.955,0.954,0.909,
